,Epoch,train_loss,train_acc,val_loss,val_acc
0,1,3.2764826679229735,0.36625,2.727799110412598,0.44000000119209287
0,2,2.521557846069336,0.4,2.494363193511963,0.43500000357627866
0,3,2.4180507373809816,0.41875,2.40060848236084,0.46499999761581423
0,4,2.339977378845215,0.44625,2.3334983444213866,0.46
0,5,2.3249903535842895,0.45625,2.3688264083862305,0.46999999523162844
0,6,2.309977946281433,0.46125,2.32159384727478,0.4549999976158142
0,7,2.293384165763855,0.46125,2.2731600761413575,0.485
0,8,2.3007164812088012,0.475,2.3075905799865724,0.48
0,9,2.287473564147949,0.46875,2.3450896644592287,0.4850000047683716
0,10,2.293955669403076,0.47375,2.2921302032470705,0.5000000071525573
0,11,2.2727318716049196,0.45875,2.236378936767578,0.49500000953674317
0,12,2.2904637384414674,0.48875,2.267004718780518,0.4950000023841858
0,13,2.245625367164612,0.4675,2.24532413482666,0.49
0,14,2.2639609432220458,0.4775,2.246766767501831,0.495
0,15,2.2485652494430544,0.48375,2.241978883743286,0.5
0,16,2.223034119606018,0.47875,2.20611346244812,0.5200000071525573
0,17,2.218878493309021,0.47,2.1925070476531983,0.5150000071525573
0,18,2.23339515209198,0.475,2.248454065322876,0.4950000023841858
0,19,2.2189273262023925,0.48375,2.2928560256958006,0.5100000095367432
0,20,2.228222618103027,0.46625,2.2358280181884767,0.4900000047683716
0,21,2.2177706146240235,0.48375,2.214816436767578,0.5250000071525573
0,22,2.211217803955078,0.48125,2.242025165557861,0.51
0,23,2.2180020713806154,0.4775,2.1875914669036867,0.4950000023841858
0,24,2.2202300691604613,0.4875,2.231543264389038,0.5100000047683716
0,25,2.219667091369629,0.47625,2.2332960414886474,0.5150000047683716
0,26,2.2033583307266236,0.49375,2.2128187942504884,0.5049999976158142
0,27,2.2055529499053956,0.49125,2.244436864852905,0.5
0,28,2.1991363048553465,0.4775,2.226810531616211,0.5200000047683716
0,29,2.1920211267471315,0.48,2.229921817779541,0.5100000071525573
0,30,2.2319201707839964,0.49375,2.232795476913452,0.5350000071525574
0,31,2.188009486198425,0.48875,2.2070343112945556,0.5
0,32,2.18728880405426,0.4875,2.1796663761138917,0.5150000071525573
0,33,2.1668684577941892,0.5,2.2270795917510986,0.49
0,34,2.1848458862304687,0.49625,2.248886671066284,0.5
0,35,2.183311915397644,0.485,2.210349473953247,0.5050000023841857
0,36,2.176904878616333,0.48,2.1825676345825196,0.5200000071525573
0,37,2.1599317598342895,0.495,2.183643407821655,0.4899999976158142
0,38,2.1459287118911745,0.49125,2.1921282958984376,0.49
0,39,2.163003182411194,0.495,2.2065110492706297,0.5000000023841857
0,40,2.162104105949402,0.49625,2.132499885559082,0.5150000047683716
0,41,2.1487155055999754,0.4975,2.146928014755249,0.51
0,42,2.163954563140869,0.49375,2.157934617996216,0.4900000023841858
0,43,2.167671546936035,0.48875,2.2116732025146484,0.5150000047683716
0,44,2.161394729614258,0.48,2.1814150619506836,0.495
0,45,2.1267918395996093,0.5,2.1728589820861814,0.4950000023841858
0,46,2.125793704986572,0.49125,2.1436874771118166,0.5000000047683716
0,47,2.1337904500961304,0.485,2.204371700286865,0.5000000047683716
0,48,2.11816641330719,0.49875,2.270960121154785,0.5000000047683716
0,49,2.1428704500198363,0.49875,2.1415641689300537,0.5149999904632568
0,50,2.092358293533325,0.50125,2.127291078567505,0.5050000071525573
